"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","correct","correct_response","feedback_duration","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"18373","13","text","0","18376","0.0-0.0","s495","","","","","","","","","","","","","","","","","",""
"2374","89","poldrack-text","1","21756","0.0-1.0","s495","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2374","500","fmri_response_test","","","","","","","","","","","","","",""
"894","71","poldrack-text","2","23153","0.0-2.0","s495","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","894","500","fmri_response_test","","","","","","","","","","","","","",""
"18300","","survey-text","3","41962","0.0-3.0","s495","","","","task_setup","{""Q0"":""400""}","","","","","","","","","","","","",""
"29635","32","poldrack-single-stim","4","72603","0.0-4.0","s495","","29635","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","29635","","","","","","","","","",""
"-1","-1","poldrack-single-stim","5","73107","0.0-5.0-0.0","s495","","500","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","test","","","","","","","","",""
"910","71","poldrack-categorize","6","75464","0.0-5.0-1.0-0.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","71","500","0","","","","",""
"698","89","poldrack-categorize","7","78070","0.0-5.0-1.0-1.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","89","500","1","","","","",""
"735","71","poldrack-categorize","8","80675","0.0-5.0-1.0-2.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","71","500","2","","","","",""
"614","89","poldrack-categorize","9","83282","0.0-5.0-1.0-3.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","89","500","3","","","","",""
"615","89","poldrack-categorize","10","85890","0.0-5.0-1.0-4.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","89","500","4","","","","",""
"716","89","poldrack-categorize","11","88496","0.0-5.0-1.0-5.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","5","","","","",""
"573","71","poldrack-categorize","12","91103","0.0-5.0-1.0-6.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","6","","","","",""
"538","71","poldrack-categorize","13","93711","0.0-5.0-1.0-7.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","7","","","","",""
"624","89","poldrack-categorize","14","96318","0.0-5.0-1.0-8.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","8","","","","",""
"570","71","poldrack-categorize","15","98927","0.0-5.0-1.0-9.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","71","500","9","","","","",""
"588","71","poldrack-categorize","16","101534","0.0-5.0-1.0-10.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","10","","","","",""
"556","89","poldrack-categorize","17","104141","0.0-5.0-1.0-11.0","s495","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","11","","","","",""
"103271","32","poldrack-text","18","207667","0.0-6.0","s495","<div class = centerbox><div style = 'font-size: 50px', class = center-text>Scan will start after scanner calibration</p></div>","103271","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1481","84","poldrack-text","19","209148","0.0-7.0","s495","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","1481","0","fmri_trigger_wait","","","","","","","","","","","","","",""
